video_id,channel_title,video_publish_date,video_title,video_view_count,video_comment_count,video_like_count,video_dislike_count
k8_SbVg5Ris,Real Engineering,2020-03-14 13:00:09+00:00,Will New York Be Underwater by 2050?,505702,1555,18760,
gacGuWjqKco,Real Engineering,2020-02-29 13:00:07+00:00,Is 100% Renewable Possible By 2050? - Interconnectors,700648,3161,28894,
dmPvGi4s9bg,Real Engineering,2020-02-15 15:00:08+00:00,Which Is The Most Dangerous Car?,1787341,4033,55571,
85aFTVijEc8,Real Engineering,2020-01-25 15:00:04+00:00,The Real Flying Saucer,1567368,1718,31437,
Hw67Hus6gIY,Real Engineering,2020-01-11 13:00:03+00:00,Why Elon Musk Created Neuralink (feat. Real Science),1276232,3025,38789,
mXi7P8hrN4w,Real Engineering,2019-12-21 13:30:00+00:00,How Planes Survive High-Gs,1774988,1627,45765,
CIYA6Jwwp4s,Real Engineering,2019-12-07 13:00:02+00:00,Can Underwater Turbines Solve Our Energy Problems?,2015405,3586,57136,
kkNGdzo_3EA,Real Engineering,2019-11-23 13:30:01+00:00,The World's Oldest Construction Project | Sagrada Familia,2456390,3503,65883,
I8iLR2xRNKY,Real Engineering,2019-11-10 13:00:03+00:00,Why Does Wing Dihedral Make Planes Stable?,864668,932,26116,
fzBRYsiyxjI,Real Engineering,2019-10-26 12:00:08+00:00,The Material Science of Metal 3D Printing,2646702,2033,61708,
zDujFhvgUzI,Real Engineering,2019-10-12 12:30:02+00:00,Is The F-35 Worth $115 Million?,6350645,14709,103448,
LLO9WxVO9s8,Real Engineering,2019-09-28 11:00:04+00:00,The Grid vs. The Next Big Solar Storm,925660,1684,27213,
IJ-7H5GCNp0,Real Engineering,2019-09-21 11:00:03+00:00,M4 Sherman - The Workhorse of D-Day,1796769,3662,49994,
j8umNI8gtlA,Real Engineering,2019-09-14 11:00:07+00:00,How to Sail on Starlight,575375,793,18434,
vZLo0-lwK1k,Real Engineering,2019-08-31 10:00:11+00:00,Could Earth's Heat Solve Our Energy Problems?,1370119,3798,37823,
h6NsYyAUOHE,Real Engineering,2019-08-17 11:00:07+00:00,Why Fighter Jets Can Be Too Unstable,1901145,2188,50679,
wJuWuJBbc1s,Real Engineering,2019-08-03 11:00:19+00:00,NASA's Dragonfly Mission to Titan,2627161,3865,54474,
RN6vGxyMcVU,Real Engineering,2019-07-20 11:00:02+00:00,Why Do Backwards Wings Exist?,4969128,4605,109094,
7Hv2dsVkA38,Real Engineering,2019-06-29 11:30:00+00:00,The Soviet Superplane That Rattled America,4969351,3772,75700,
giQ8xEWjnBs,Real Engineering,2019-06-15 11:30:00+00:00,Why SpaceX is Making Starlink,7360097,15147,148721,
5cA9bZRHpZE,Real Engineering,2019-06-08 11:00:00+00:00,Why Are There so Many Types of Screws?!,2051010,4414,72718,
h5cm7HOAqZY,Real Engineering,2019-05-25 12:11:14+00:00,California's Renewable Energy Problem,1630533,10536,41277,
P8aTDusU7dw,Real Engineering,2019-05-10 12:00:06+00:00,The Challenge of Building a Self-Driving Car,824484,1657,28259,
itdYS9XF4a0,Real Engineering,2019-04-26 11:30:00+00:00,The Truth About Space Debris,2910773,4359,56950,
l-vHGf4j90Y,Real Engineering,2019-04-19 13:32:02+00:00,How Many Digits of Pi Do We Really Need?,654819,1992,27366,
9Jt924xjaJo,Real Engineering,2019-04-05 11:00:02+00:00,America's Insane Plan for Nuclear Powered Planes,2341474,2063,48687,
ecxCL84n26g,Real Engineering,2019-03-22 14:00:07+00:00,Carbon Capture - Humanity's Last Hope?,941780,4657,33219,
DE_PZQ13YTY,Real Engineering,2019-03-08 14:00:01+00:00,Tesla's Quest for Better Batteries,2673700,2244,47770,
kFFyeHJDI50,Real Engineering,2019-02-22 13:00:04+00:00,Designer Babies - The Problem With China's CRISPR Experiment,691314,2727,21246,
6AcE7hBhpYU,Real Engineering,2019-02-08 13:00:00+00:00,Why SpaceX Built A Stainless Steel Starship,4920224,5041,80662,
jEbRVNxL44c,Real Engineering,2019-01-25 14:30:02+00:00,Zipline - How Rwanda Built A Drone Delivery Service,1546317,3065,64135,
2hVEmBKdm1s,Real Engineering,2019-01-18 16:00:00+00:00,How The Ford Model T Took Over The World,695588,938,19772,
IorDYGI1uqc,Real Engineering,2018-12-28 13:00:03+00:00,Ion Propulsion - The Plane With No Moving Parts,4385666,4480,87499,
kMNSAhsyiDg,Real Engineering,2018-12-13 13:02:29+00:00,How Shazam Works,2716537,2062,86364,
lzRvSWPZQYk,Real Engineering,2018-11-30 13:00:05+00:00,The Truth About Vinyl - Vinyl vs. Digital,5611467,22204,109957,
52VQdt0-5EQ,Real Engineering,2018-11-23 14:00:00+00:00,Britain's Most Daring WW2 Raid,1646265,1657,39234,
tJFtdvrTZs4,Real Engineering,2018-10-26 11:30:04+00:00,Can We Block the Sun to Stop Climate Change,599153,3808,19125,
ALQ_RNSRE40,Real Engineering,2018-10-19 11:00:34+00:00,How Machine Learning is Fighting Cancer,337225,539,13413,
-dL28N5yPmQ,Real Engineering,2018-10-05 12:28:16+00:00,How We Will Colonise The Moon,959989,1718,30246,
2lv6Vs12jLc,Real Engineering,2018-09-22 09:48:36+00:00,How NASA Reinvented The Wheel - Shape Memory Alloys,5057429,4508,102547,
lfo8XHGFAIQ,Real Engineering,2018-09-14 11:30:01+00:00,Can We Terraform the Sahara to Stop Climate Change?,2880723,15951,72223,
X0Mu4jJ0S0s,Real Engineering,2018-08-31 11:00:08+00:00,The Rise and Fall of the Japanese Zero,5607248,6073,96998,
Rbt2NFCtBh4,Real Engineering,2018-08-24 14:00:07+00:00,Why The US Airforce Ejected a Bear,978526,1205,22920,
5QZ3eozyQfU,Real Engineering,2018-08-10 12:00:00+00:00,Designing the Perfect Airport Runway,3224989,2305,58244,
f7MzFfuNOtY,Real Engineering,2018-07-27 12:29:48+00:00,The Truth about Hydrogen,5623410,20813,101010,
VNvzZfsC13o,Real Engineering,2018-07-20 12:30:03+00:00,Are Electric Planes Possible?,2313810,5863,54059,
Xz8RRxYwrhg,Real Engineering,2018-07-10 12:30:21+00:00,The Physics of Racing Games,530863,1063,16906,
CkOOazEJcUc,Real Engineering,2018-06-22 13:31:34+00:00,NASA's 150 Million Dollar Coding Error,853009,684,20939,
n3n0gKLn84k,Real Engineering,2018-06-08 11:30:00+00:00,The WW2 Towers That Defeated the Soviets,3188419,5274,76192,
o6XlcarjqAw,Real Engineering,2018-05-25 13:30:01+00:00,How to Solve the Housing Crisis,972592,2987,30269,
N52XEh2qhnU,Real Engineering,2018-05-21 12:30:00+00:00,Cyborg Hearts - How Humans Computerised The Heart,307639,620,11691,
ahX_0XHp1vM,Real Engineering,2018-05-04 11:05:19+00:00,How to Find an Exoplanet,336883,818,12030,
saCdvAp5cow,Real Engineering,2018-04-13 11:31:52+00:00,How a Single Swedish Submarine Defeated the US Navy,10019922,15358,148590,
zZ_jGGD-DX8,Real Engineering,2018-03-09 14:39:53+00:00,Why Planes Crash.,1701092,2739,39285,
iOVg62_DUYU,Real Engineering,2018-02-23 08:23:47+00:00,The Truth About Wireless Charging,4474078,4659,104247,
Ua2_IR2CkZU,Real Engineering,2018-02-09 15:30:25+00:00,Fastest Car vs. Fastest Helicopter - Which is Faster?,969473,1411,25302,
6jQ4y0LK1kY,Real Engineering,2018-01-29 15:01:00+00:00,Heat Treatment -The Science of Forging (feat. Alec Steele),3302561,1555,87812,
4GfqB7P6uAE,Real Engineering,2018-01-12 13:00:16+00:00,The Real Life Sci-Fi of Vertical Take-Off Planes,2383304,2520,56979,
lA9g7fDWnok,Real Engineering,2017-12-29 12:32:11+00:00,The History of The London Underground,620650,585,16764,
oJ8Cf0vWmxE,Real Engineering,2017-12-15 14:08:27+00:00,The Truth About The Tesla Semi-Truck,3960543,10138,90519,
mPshhkYpCBY,Real Engineering,2017-11-24 12:30:02+00:00,Designing The Fastest Wheels in History,2040422,3418,45533,
Ney1poEzLao,Real Engineering,2017-11-17 13:55:16+00:00,"The Rise of Samsung, Apple's Secret Supplier",1526682,1689,31954,
i6DRRHXt-PA,Real Engineering,2017-10-31 14:30:03+00:00,Why The Netherlands Isn't Under Water,3610104,3884,69551,
aAqZ44C0j5k,Real Engineering,2017-10-27 12:30:00+00:00,The Mystery of the Pyramids' Construction,1603031,1849,38015,
